feature,n_non_missing,n_missing,missing_pct,mean,median,std,min,p05,p25,p75,p95,max
mean_pitch,21106.0,235.0,1.1011667681926807,276.58278555721444,257.7987026512683,93.85417206527269,99.87147693637152,152.5378171077789,209.85753492458676,328.08509287124696,464.71064488341955,596.9239610731257
min_pitch,21106.0,235.0,1.1011667681926807,264.6991937708656,247.97414519120235,89.37405224807736,99.69362162257464,143.7383850903414,202.16105564941225,311.5877130604528,443.3075796284205,593.9881514153877
max_pitch,21106.0,235.0,1.1011667681926807,288.34234655959966,266.25697826768203,101.06453360320835,99.87147693637152,157.46650214299666,216.71489324305585,342.67928271396573,494.34536390819824,599.9993143522339
pitch_range,21106.0,235.0,1.1011667681926807,23.643152788734124,10.823566340406003,40.988144280968655,0.0,1.4449243609977527,4.909659414731458,23.8617312947637,90.86935190735036,480.49055106478784
