feature,n_missing,missing_percentage
mean_pitch,235,1.1011667681926807
min_pitch,235,1.1011667681926807
max_pitch,235,1.1011667681926807
pitch_range,235,1.1011667681926807
formant_ceiling,235,1.1011667681926807
mean_F1,235,1.1011667681926807
mean_F2,235,1.1011667681926807
mean_F3,235,1.1011667681926807
mean_F4,235,1.1011667681926807
central_F1,235,1.1011667681926807
central_F2,235,1.1011667681926807
central_F3,235,1.1011667681926807
central_F4,283,1.3260859378660794
