feature,n_non_missing,n_missing,missing_pct,mean,median,std,min,p05,p25,p75,p95,max
mean_F1,21106.0,235.0,1.1011667681926807,554.6665970120641,531.3207876003629,163.68776921815586,158.95048866743812,326.13607307981613,433.06159699478036,663.6857549289185,839.477173786813,2310.334560943931
mean_F2,21106.0,235.0,1.1011667681926807,1794.1210457760385,1802.3559726953026,450.26459011823493,516.1125033455696,1034.5862319894761,1474.759005378191,2135.1919567623117,2503.8062342649455,3690.163470354219
mean_F3,21106.0,235.0,1.1011667681926807,2920.261259831059,2941.980006225426,421.19630078645383,1220.8987859426293,2178.4337819936472,2668.418595783856,3194.2624083575774,3577.2611530009444,4595.473867341577
mean_F4,21106.0,235.0,1.1011667681926807,4028.100112129342,4060.352063661932,465.32825351243997,2593.3611165665134,3207.7768559026636,3723.8069534089477,4350.420794550944,4756.709467042408,5844.741461989695
central_F1,21106.0,235.0,1.1011667681926807,556.6133192831735,530.732836812628,172.24165276935148,137.1523969571749,320.292102633128,430.78955845558727,667.8484205192194,855.2178146617842,2923.7328085666018
central_F2,21106.0,235.0,1.1011667681926807,1796.959152445824,1804.6816178563192,468.2778029625202,437.8370942313686,1001.536574761061,1471.1853212011906,2145.53302639279,2536.3563534806985,3690.163470354219
central_F3,21106.0,235.0,1.1011667681926807,2922.8520676470275,2946.4675014210998,455.9065413157481,1176.2102962161991,2112.506321520173,2662.5996766202534,3209.2573297773497,3636.628031976551,4682.502374967237
central_F4,21058.0,283.0,1.3260859378660794,4029.6983760902954,4057.554929774732,501.27659665666334,2260.397851481829,3143.477913062658,3712.768117315576,4364.571891393233,4824.283071789337,6096.413498687636
