register,n_tokens,n_success,n_failed,success_rate,mean_duration_ms,mean_pitch,mean_pitch_range,mean_F1,mean_F2,central_F1,central_F2
IDS,17552.0,17457.0,95.0,99.45875113947129,103.7409696900638,285.5433070009551,25.139371622146545,555.3011732559314,1804.2109129718342,557.2271743136371,1807.5155052451364
ADS,3789.0,3649.0,140.0,96.30509369226708,83.80375560833993,233.7151991380908,16.48516644319271,551.6307522630404,1745.8506123320792,553.6766058639348,1746.4570283522091
