feature,n_non_missing,n_missing,missing_pct,mean,median,std,min,p05,p25,p75,p95,max
F1_diff,21106.0,0.0,0.0,1.94672227110932,0.0,45.52821487321152,-1250.8502415245282,-38.96197657057799,-2.6944172316140964,6.196603996907868,48.72497190036367,1578.0820538106018
F2_diff,21106.0,0.0,0.0,2.838106669785399,0.0,117.80764676101052,-1248.3645963759382,-139.94591662508196,-17.68709320442167,18.545688775568863,151.0105947936783,1677.3054387011975
F3_diff,21106.0,0.0,0.0,2.5908078159688124,0.0,157.29272958344527,-1367.0646860300928,-214.51950514426198,-27.471767010768076,28.08061910935362,236.34047440107656,1303.4206956870253
F4_diff,21058.0,48.0,0.22742348147446223,1.7543290289181814,0.0,169.65754402194776,-1686.1762272223614,-252.1677148522438,-36.09796084301104,32.97613895992083,275.763926470514,1362.7469494376737
